sys0,93.92,credit,2025-05-29 00:00:00
sys1,90.95,debit,2025-05-25 00:00:00
sys2,98.34,credit,2025-05-26 00:00:00
sys3,106.80,debit,2025-05-25 00:00:00
sys4,100.56,credit,2025-05-30 00:00:00
sys5,98.49,debit,2025-05-30 00:00:00
sys6,93.17,credit,2025-05-26 00:00:00
sys7,100.42,debit,2025-05-26 00:00:00
sys8,106.33,credit,2025-05-26 00:00:00
sys9,107.94,debit,2025-05-30 00:00:00
sys10,95.87,credit,2025-05-26 00:00:00
sys11,94.83,debit,2025-05-28 00:00:00
sys12,94.24,credit,2025-05-28 00:00:00
sys13,94.11,debit,2025-05-29 00:00:00
sys14,107.37,credit,2025-05-25 00:00:00
sys15,99.89,debit,2025-05-27 00:00:00
sys16,90.79,credit,2025-05-28 00:00:00
sys17,101.30,debit,2025-05-25 00:00:00
sys18,90.41,credit,2025-05-25 00:00:00
sys19,95.43,debit,2025-05-29 00:00:00
sys20,98.06,credit,2025-05-25 00:00:00
sys21,103.04,debit,2025-05-26 00:00:00
sys22,90.77,credit,2025-05-27 00:00:00
sys23,91.63,debit,2025-05-27 00:00:00
sys24,95.13,credit,2025-05-28 00:00:00
sys25,90.34,debit,2025-05-25 00:00:00
sys26,97.52,credit,2025-05-29 00:00:00
sys27,98.09,debit,2025-05-27 00:00:00
sys28,90.77,credit,2025-05-26 00:00:00
sys29,96.15,debit,2025-05-30 00:00:00
sys30,108.82,credit,2025-05-28 00:00:00
sys31,109.74,debit,2025-05-26 00:00:00
sys32,107.01,credit,2025-05-25 00:00:00
sys33,104.02,debit,2025-05-27 00:00:00
sys34,103.48,credit,2025-05-29 00:00:00
sys35,95.50,debit,2025-05-26 00:00:00
sys36,90.54,credit,2025-05-28 00:00:00
sys37,107.03,debit,2025-05-30 00:00:00
sys38,108.92,credit,2025-05-27 00:00:00
sys39,104.23,debit,2025-05-29 00:00:00
sys40,100.17,credit,2025-05-27 00:00:00
sys41,91.38,debit,2025-05-25 00:00:00
sys42,99.07,credit,2025-05-28 00:00:00
sys43,106.16,debit,2025-05-25 00:00:00
sys44,100.65,credit,2025-05-30 00:00:00
sys45,93.71,debit,2025-05-28 00:00:00
sys46,97.38,credit,2025-05-27 00:00:00
sys47,93.39,debit,2025-05-30 00:00:00
sys48,108.35,credit,2025-05-27 00:00:00
sys49,104.61,debit,2025-05-25 00:00:00
sys_before0,103.92,credit,2025-05-20 00:00:00
sys_before1,99.54,debit,2025-05-21 00:00:00
sys_before2,104.56,credit,2025-05-22 00:00:00
sys_before3,100.66,debit,2025-05-23 00:00:00
sys_before4,90.81,credit,2025-05-24 00:00:00
sys_before5,109.75,debit,2025-05-20 00:00:00
sys_before6,100.54,credit,2025-05-21 00:00:00
sys_before7,96.76,debit,2025-05-22 00:00:00
sys_before8,100.30,credit,2025-05-23 00:00:00
sys_before9,91.47,debit,2025-05-24 00:00:00
sys_before10,98.96,credit,2025-05-20 00:00:00
sys_before11,97.66,debit,2025-05-21 00:00:00
sys_before12,91.77,credit,2025-05-22 00:00:00
sys_before13,99.11,debit,2025-05-23 00:00:00
sys_before14,101.86,credit,2025-05-24 00:00:00
sys_before15,102.45,debit,2025-05-20 00:00:00
sys_before16,93.17,credit,2025-05-21 00:00:00
sys_before17,92.17,debit,2025-05-22 00:00:00
sys_before18,92.70,credit,2025-05-23 00:00:00
sys_before19,90.93,debit,2025-05-24 00:00:00
sys_after0,96.88,credit,2025-06-01 00:00:00
sys_after1,94.61,debit,2025-06-02 00:00:00
sys_after2,105.15,credit,2025-06-03 00:00:00
sys_after3,106.18,debit,2025-06-04 00:00:00
sys_after4,92.31,credit,2025-06-05 00:00:00
